score,accurate,fav_game_type
787.27567812212,94.6667,SIMULATION
875.01730338461,90.2954,SIMULATION
1348.7695903009,93.4718,RPG
667.1691124483,92.8783,RPG
727.6417599235,88.8372,SIMULATION
1560.5548820857,83.8875,RPG
1395.0162907327,89.3443,RPG
1271.1214849134,93.2515,LOGIC
347.10880710589,98.2301,HORROR
280.26846693847,96.0,HORROR
1242.5455013142,80.4281,RTS
2065.2012174582,86.5385,FPS
1251.022426012,88.2716,ACTION
1121.7915892318,88.5802,ACTION
1133.3031341834,91.0494,ACTION
481.3631375062,91.2162,ACTION
1964.0116780666,93.6123,LOGIC
136.48937216629,100.0,LOGIC
1667.716571149,94.4862,SIMULATION
416.50597895159,84.4595,SANDBOX
1806.9209427384,73.2187,SANDBOX
371.02213873054,98.3871,HACK_AND_SLASH
368.96925752996,95.9677,MMO
118.92148536828,92.0,ACTION
496.15043273162,83.6601,ACTION
456.26770907045,80.3922,ACTION
2010.7101892898,89.1353,ACTION
3135.3374265143,94.4179,SANDBOX
537.20743527159,88.0503,RTS
287.96307162521,95.0495,SURVIVAL
329.6917596588,100.0,PLATFORM
2117.8440130657,88.8889,ACTION
754.93197933875,95.8716,SANDBOX
966.98321960118,89.0977,ACTION
890.45514276454,90.2256,ACTION
3248.1764433435,94.8031,SANDBOX
431.00882652443,89.0511,FPS
136.74899334477,85.9649,SANDBOX
1896.93373198,93.9252,STORY_RICH
1872.9409284073,90.3587,SANDBOX
668.67669621471,87.0647,FPS
1389.8924070265,92.0821,SURVIVAL
1420.5149830628,91.5493,FPS
779.78816559683,82.4561,ACTION
1044.6285163164,90.4762,ACTION
1675.7926317766,88.5287,ACTION
1217.4713638427,92.7673,RPG
880.47273137603,86.9388,RPG
1068.4564196707,92.2535,MMO
829.97582835596,70.0,PLATFORM
1258.4188673314,79.8107,SURVIVAL
202.35543831422,93.5065,SANDBOX
3143.711008836,92.0128,SURVIVAL
596.77792248396,89.5288,SIMULATION
