fav_game_type,time_to_click,time_to_fall
SIMULATION,1.478,7.7956346465017
RPG,1.239,7.5872083246193
SIMULATION,1.636,7.3548747064597
RPG,1.092,7.8389269433911
SIMULATION,2.15,7.7349688571388
RPG,1.027,7.0859696336598
LOGIC,0.915,7.1995637182637
RTS,1.11,7.8421860937695
FPS,1.442,7.3580501549068
ACTION,1.265,7.2705970934479
HORROR,4.354,7.5015652024771
ACTION,1.279,7.6513521440529
HORROR,2.076,7.4720817893766
ACTION,1.17,7.1647903533365
ACTION,1.763,7.2047805864302
LOGIC,1.722,7.5750835935767
SANDBOX,1.179,7.3523039437131
SIMULATION,1.374,7.2952417017872
HACK_AND_SLASH,2.433,7.3152621962598
SANDBOX,0.883,7.4165098091428
LOGIC,0.859,7.2856924726778
MMO,3.081,7.8535651959158
ACTION,2.71,7.7878080570895
ACTION,1.714,7.0802187146546
ACTION,2.2,7.0953256144987
SANDBOX,1.27,7.3194573355861
RTS,1.554,7.0719142739659
SURVIVAL,3.188,7.7174880524842
PLATFORM,1.39,7.6357518144096
ACTION,1.41,7.8109650376921
ACTION,2.275,7.8461655153814
SANDBOX,1.727,7.363845308342
RPG,0.954,7.3539363853858
ACTION,1.621,7.2544508670873
ACTION,1.39,7.3586758215592
SANDBOX,1.086,7.4238294618862
FPS,1.176,7.1578802418398
SANDBOX,1.655,7.3604007693655
STORY_RICH,1.142,7.1764550648158
SANDBOX,0.84,7.4307082610796
FPS,1.336,7.8685618475696
SURVIVAL,1.094,7.1201488592415
FPS,1.106,7.3329369703824
ACTION,1.206,7.4459033209838
ACTION,5.842,7.221280140396
ACTION,2.68,7.3797155490733
RPG,1.141,7.7043136912185
RPG,1.189,7.107851494947
MMO,1.351,7.6168632776212
PLATFORM,1.335,7.1111097978978
SURVIVAL,1.038,7.033430482937
SANDBOX,2.48,7.6812438844493
SURVIVAL,1.01,7.1627766386978
SIMULATION,1.248,7.8811088919946
