age,time_to_click,time_to_fall
25-45,1.478,7.7956346465017
25-45,1.239,7.5872083246193
25-45,1.636,7.3548747064597
25-45,1.092,7.8389269433911
15-25,2.15,7.7349688571388
15-25,1.027,7.0859696336598
15-25,0.915,7.1995637182637
15-25,1.11,7.8421860937695
15-25,1.442,7.3580501549068
25-45,1.265,7.2705970934479
15-25,4.354,7.5015652024771
15-25,1.279,7.6513521440529
15-25,2.076,7.4720817893766
25-45,1.17,7.1647903533365
25-45,1.763,7.2047805864302
25-45,1.722,7.5750835935767
15-25,1.179,7.3523039437131
15-25,1.374,7.2952417017872
15-25,2.433,7.3152621962598
15-25,0.883,7.4165098091428
15-25,0.859,7.2856924726778
15-25,3.081,7.8535651959158
15-25,2.71,7.7878080570895
45-60,1.714,7.0802187146546
15-25,2.2,7.0953256144987
15-25,1.27,7.3194573355861
45-60,1.554,7.0719142739659
15-25,3.188,7.7174880524842
25-45,1.39,7.6357518144096
15-25,1.41,7.8109650376921
45-60,2.275,7.8461655153814
45-60,1.727,7.363845308342
15-25,0.954,7.3539363853858
15-25,1.621,7.2544508670873
15-25,1.39,7.3586758215592
15-25,1.086,7.4238294618862
45-60,1.176,7.1578802418398
<15,1.655,7.3604007693655
15-25,1.142,7.1764550648158
15-25,0.84,7.4307082610796
15-25,1.336,7.8685618475696
15-25,1.094,7.1201488592415
15-25,1.106,7.3329369703824
25-45,1.206,7.4459033209838
15-25,5.842,7.221280140396
15-25,2.68,7.3797155490733
15-25,1.141,7.7043136912185
15-25,1.189,7.107851494947
15-25,1.351,7.6168632776212
15-25,1.335,7.1111097978978
15-25,1.038,7.033430482937
15-25,2.48,7.6812438844493
15-25,1.01,7.1627766386978
25-45,1.248,7.8811088919946
