age,time_to_click,square_size
25-45,1.478,84
25-45,1.239,52
25-45,1.636,72
25-45,1.092,90
15-25,2.15,81
15-25,1.027,93
15-25,0.915,90
15-25,1.11,71
15-25,1.442,61
25-45,1.265,82
15-25,4.354,56
15-25,1.279,49
15-25,2.076,88
25-45,1.17,68
25-45,1.763,71
25-45,1.722,51
15-25,1.179,66
15-25,1.374,87
15-25,2.433,64
15-25,0.883,94
15-25,0.859,48
15-25,3.081,86
15-25,2.71,77
45-60,1.714,94
15-25,2.2,77
15-25,1.27,81
45-60,1.554,81
15-25,3.188,54
25-45,1.39,59
15-25,1.41,93
45-60,2.275,75
45-60,1.727,74
15-25,0.954,63
15-25,1.621,92
15-25,1.39,84
15-25,1.086,90
45-60,1.176,67
<15,1.655,62
15-25,1.142,85
15-25,0.84,57
15-25,1.336,52
15-25,1.094,67
15-25,1.106,69
25-45,1.206,59
15-25,5.842,63
15-25,2.68,62
15-25,1.141,91
15-25,1.189,56
15-25,1.351,66
15-25,1.335,88
15-25,1.038,58
15-25,2.48,76
15-25,1.01,68
25-45,1.248,87
