age,time_to_click,time_to_fall
<15,3.278,7.1167484797361
15-25,2.2998499999999993,6.9217947637075
25-45,2.587736842105263,7.0306663383408
45-60,2.88,6.7425877095399
<15,3.7104999999999997,7.6450296216987
15-25,2.183771844660196,6.6767726813196
25-45,2.542104166666667,6.484290625408
45-60,3.426769230769231,7.599268112859
15-25,2.2680109289617496,7.158107037848
25-45,2.4624545454545457,7.4609980641098
45-60,2.793090909090909,7.3943287554226
<15,3.0275,7.4954650230016
15-25,2.118370192307692,6.2160553732285
25-45,2.427961538461538,7.44081881063
45-60,3.1204666666666667,6.7351599286245
<15,5.623,7.0498550867927
15-25,2.217923857868021,7.2865836120276
25-45,2.6429787234042545,7.2654910292057
45-60,2.953071428571429,7.3230892413687
<15,4.423,6.7226036153608
15-25,2.256213270142181,7.6590892626932
25-45,2.5879545454545454,6.4397097259139
45-60,2.9681,7.3431812995487
<15,3.124,7.3907771584545
15-25,2.1867991452991444,6.790042765053
25-45,2.401837837837837,5.773213531099
45-60,2.8297142857142856,7.470306457794
<15,3.1696666666666666,7.0096994056086
15-25,2.156350806451613,6.6302791834021
25-45,2.42701724137931,7.8661132363697
45-60,2.734235294117647,7.0347351092623
<15,5.364,7.1070762201432
15-25,2.111182266009852,7.8314646853518
25-45,2.473133333333333,7.1144506042406
45-60,3.0735333333333332,6.6274193774012
<15,4.253,6.9501728020962
15-25,2.3264044444444445,6.836238002566
25-45,2.437951219512195,6.3338274028367
45-60,3.171125,6.4570795915003
15-25,2.1916414141414142,7.0013746154048
25-45,2.6589999999999994,7.0406910204276
45-60,2.689176470588236,7.1801358772621
<15,4.074,7.6701147730021
15-25,2.2253919597989955,7.0635877372048
25-45,2.4847592592592584,7.5456817264735
45-60,3.4171538461538464,7.4535249091915
15-25,2.143359223300973,7.4682896203205
25-45,2.5180612244897964,7.008849947351
45-60,2.7760714285714294,7.3782846762577
<15,4.003,6.9952037450454
15-25,2.100842342342343,6.159379967775
25-45,2.2086046511627915,7.4628290174892
45-60,3.1065625000000003,7.4096421108184
<15,3.188,7.6394657224788
15-25,2.0979999999999994,6.6307044527388
25-45,2.3493529411764706,6.2048835514717
45-60,2.8287500000000003,7.2346822739965
15-25,2.161783783783785,7.0943257001062
25-45,2.449837209302326,7.8835336970182
45-60,2.9297,7.0516598920657
15-25,2.0500882352941168,6.6804700647354
25-45,2.526978723404255,6.2322447842999
45-60,2.777571428571428,7.1425099392714
<15,1.655,7.3604007693655
15-25,2.069203791469194,6.1906251133648
25-45,2.6318965517241386,7.825732445002
45-60,3.220333333333334,6.4841739277073
<15,3.162,6.545296005952
15-25,2.181978165938865,7.5226555715018
25-45,2.4279555555555548,5.9107757635041
45-60,3.009157894736842,6.7098771959963
15-25,2.1434764397905743,7.2741130881401
25-45,2.5623125,6.0189214707787
45-60,2.1216666666666666,6.5021446939381
<15,2.5309999999999997,7.8523757447038
15-25,2.1025493562231765,6.8395087915084
25-45,2.428962264150943,6.2575177323568
45-60,2.5814375000000003,6.9904308655121
15-25,2.1237792207792188,6.0770027718166
25-45,2.3628043478260876,7.3395483747133
45-60,2.6257894736842107,6.5901723998646
<15,5.058,7.0960661450834
15-25,2.0997073170731695,7.0132324370618
25-45,2.5954782608695655,7.2078285240693
45-60,2.484076923076923,7.6381276270528
<15,3.161,7.4894436351278
15-25,2.1421379310344824,7.3533441349848
25-45,2.5700588235294126,7.6692528986496
45-60,2.607875,6.8035270019902
<15,4.609,7.270234509168
15-25,2.043288372093022,7.214129155886
25-45,2.4570681818181814,7.8703228551187
45-60,3.049666666666667,7.1252854594323
15-25,2.1441149999999993,7.6498142324534
25-45,2.264181818181819,7.8599352621546
45-60,3.0362307692307695,6.8850370167898
<15,3.906,6.7128191135572
15-25,2.088570754716982,6.5536080407525
25-45,2.3815686274509806,6.7838167361844
45-60,2.5665789473684213,7.1708227975116
<15,3.7487500000000002,6.8813253429744
15-25,2.1366026785714287,7.6585322836973
25-45,2.4163846153846156,6.6366742950294
45-60,2.916090909090909,7.2661049940207
<15,3.7645,7.4792182482794
15-25,2.1233273542600903,6.6310509240481
25-45,2.5532280701754386,6.6262038915955
45-60,2.736961538461539,7.8541523702713
<15,3.545,7.4484494783939
15-25,2.1123434343434355,6.8338438302252
25-45,2.471857142857143,7.1213732107586
45-60,2.776222222222222,7.1454958101448
<15,3.194,7.6255861708868
15-25,2.1533659793814426,6.508646126799
25-45,2.4572950819672132,7.3800482315535
45-60,2.5482000000000005,7.0768989583804
<15,2.089,7.4808523417852
15-25,2.0949055793991422,6.2423074791324
25-45,2.3306818181818185,7.6525199143252
45-60,2.3745789473684207,6.7682347574397
<15,4.286,7.8527839832449
15-25,2.1514096916299548,7.5346979925682
25-45,2.4741000000000004,6.3829816287298
45-60,2.787,7.2516248496955
15-25,1.9792247706422015,7.0652248091006
25-45,2.4769803921568627,6.7772417853271
45-60,2.749173913043479,7.1490029046634
15-25,2.0653738317757013,6.8343134852089
25-45,2.482739130434783,7.206628549656
45-60,3.067461538461539,7.7974145302526
15-25,2.1330850202429157,6.986968729378
25-45,2.230176470588235,5.2549452827418
45-60,3.150882352941177,7.5229085645162
<15,2.665,6.925483087927
15-25,2.0580368421052633,7.7349688571388
25-45,2.7371269841269834,7.2617421787901
45-60,2.991333333333333,6.8517736897697
15-25,2.125909090909091,7.5241794546902
25-45,2.309921568627451,7.1553729471486
45-60,2.53264705882353,7.3286307591055
15-25,2.0968864628820962,7.0670314052561
25-45,2.444396825396825,7.2991396448345
45-60,2.8962499999999998,6.6987162554549
<15,3.596,7.2030128474726
15-25,2.1331249999999997,7.743631979485
25-45,2.3565925925925932,7.7956346465017
45-60,2.474352941176471,6.8338143299068
<15,3.634,6.7254058476425
15-25,2.10814798206278,7.2317222928401
25-45,2.505604166666666,7.2280875306695
45-60,2.6040769230769234,6.4402937122853
<15,3.4749999999999996,6.9572384028343
15-25,2.0752499999999983,6.6652866117872
25-45,2.3664166666666664,7.0632055155196
45-60,2.9595384615384606,6.8160230187175
15-25,1.9095024390243913,7.891985905379
25-45,2.3197042253521136,7.2469391022207
45-60,2.6613333333333333,7.5415011086047
<15,5.5169999999999995,6.7553156410406
15-25,2.0818767123287683,5.4752024338061
25-45,2.4572553191489352,7.4514720083577
45-60,2.6331176470588242,7.017214631474
<15,2.874,7.1641324783247
15-25,2.0690338164251223,7.3400904269379
25-45,2.4166956521739134,6.1576471802882
45-60,2.709214285714286,7.2246688606534
15-25,2.119284313725491,7.6858738024181
25-45,2.4269500000000006,7.8735385102865
45-60,2.9767777777777775,7.2410346009365
15-25,2.087369458128079,7.1647964700845
25-45,2.4288571428571424,6.6845599421064
45-60,3.4240000000000004,6.896934445508
<15,3.503,7.3214892626915
15-25,1.9945124378109438,7.6708731462133
25-45,2.399488372093023,6.1866885891211
45-60,2.719666666666667,7.4625756498303
15-25,2.0273070539419065,6.5600864666708
25-45,2.337808510638298,7.3223190434557
45-60,2.442058823529411,7.0434806159115
<15,3.544,7.4960565031857
15-25,2.08778354978355,7.1588412321049
25-45,2.419500000000001,6.5209287879195
45-60,2.688157894736842,7.0802187146546
15-25,2.154256756756756,7.1466231383101
25-45,2.3763750000000003,7.1641754577379
45-60,2.826916666666666,6.6447498172473
