age,time_to_click,square_size
<15,3.278,45
15-25,2.2998499999999993,45
25-45,2.587736842105263,45
45-60,2.88,45
<15,3.7104999999999997,46
15-25,2.183771844660196,46
25-45,2.542104166666667,46
45-60,3.426769230769231,46
15-25,2.2680109289617496,47
25-45,2.4624545454545457,47
45-60,2.793090909090909,47
<15,3.0275,48
15-25,2.118370192307692,48
25-45,2.427961538461538,48
45-60,3.1204666666666667,48
<15,5.623,49
15-25,2.217923857868021,49
25-45,2.6429787234042545,49
45-60,2.953071428571429,49
<15,4.423,50
15-25,2.256213270142181,50
25-45,2.5879545454545454,50
45-60,2.9681,50
<15,3.124,51
15-25,2.1867991452991444,51
25-45,2.401837837837837,51
45-60,2.8297142857142856,51
<15,3.1696666666666666,52
15-25,2.156350806451613,52
25-45,2.42701724137931,52
45-60,2.734235294117647,52
<15,5.364,53
15-25,2.111182266009852,53
25-45,2.473133333333333,53
45-60,3.0735333333333332,53
<15,4.253,54
15-25,2.3264044444444445,54
25-45,2.437951219512195,54
45-60,3.171125,54
15-25,2.1916414141414142,55
25-45,2.6589999999999994,55
45-60,2.689176470588236,55
<15,4.074,56
15-25,2.2253919597989955,56
25-45,2.4847592592592584,56
45-60,3.4171538461538464,56
15-25,2.143359223300973,57
25-45,2.5180612244897964,57
45-60,2.7760714285714294,57
<15,4.003,58
15-25,2.100842342342343,58
25-45,2.2086046511627915,58
45-60,3.1065625000000003,58
<15,3.188,59
15-25,2.0979999999999994,59
25-45,2.3493529411764706,59
45-60,2.8287500000000003,59
15-25,2.161783783783785,60
25-45,2.449837209302326,60
45-60,2.9297,60
15-25,2.0500882352941168,61
25-45,2.526978723404255,61
45-60,2.777571428571428,61
<15,1.655,62
15-25,2.069203791469194,62
25-45,2.6318965517241386,62
45-60,3.220333333333334,62
<15,3.162,63
15-25,2.181978165938865,63
25-45,2.4279555555555548,63
45-60,3.009157894736842,63
15-25,2.1434764397905743,64
25-45,2.5623125,64
45-60,2.1216666666666666,64
<15,2.5309999999999997,65
15-25,2.1025493562231765,65
25-45,2.428962264150943,65
45-60,2.5814375000000003,65
15-25,2.1237792207792188,66
25-45,2.3628043478260876,66
45-60,2.6257894736842107,66
<15,5.058,67
15-25,2.0997073170731695,67
25-45,2.5954782608695655,67
45-60,2.484076923076923,67
<15,3.161,68
15-25,2.1421379310344824,68
25-45,2.5700588235294126,68
45-60,2.607875,68
<15,4.609,69
15-25,2.043288372093022,69
25-45,2.4570681818181814,69
45-60,3.049666666666667,69
15-25,2.1441149999999993,70
25-45,2.264181818181819,70
45-60,3.0362307692307695,70
<15,3.906,71
15-25,2.088570754716982,71
25-45,2.3815686274509806,71
45-60,2.5665789473684213,71
<15,3.7487500000000002,72
15-25,2.1366026785714287,72
25-45,2.4163846153846156,72
45-60,2.916090909090909,72
<15,3.7645,73
15-25,2.1233273542600903,73
25-45,2.5532280701754386,73
45-60,2.736961538461539,73
<15,3.545,74
15-25,2.1123434343434355,74
25-45,2.471857142857143,74
45-60,2.776222222222222,74
<15,3.194,75
15-25,2.1533659793814426,75
25-45,2.4572950819672132,75
45-60,2.5482000000000005,75
<15,2.089,76
15-25,2.0949055793991422,76
25-45,2.3306818181818185,76
45-60,2.3745789473684207,76
<15,4.286,77
15-25,2.1514096916299548,77
25-45,2.4741000000000004,77
45-60,2.787,77
15-25,1.9792247706422015,78
25-45,2.4769803921568627,78
45-60,2.749173913043479,78
15-25,2.0653738317757013,79
25-45,2.482739130434783,79
45-60,3.067461538461539,79
15-25,2.1330850202429157,80
25-45,2.230176470588235,80
45-60,3.150882352941177,80
<15,2.665,81
15-25,2.0580368421052633,81
25-45,2.7371269841269834,81
45-60,2.991333333333333,81
15-25,2.125909090909091,82
25-45,2.309921568627451,82
45-60,2.53264705882353,82
15-25,2.0968864628820962,83
25-45,2.444396825396825,83
45-60,2.8962499999999998,83
<15,3.596,84
15-25,2.1331249999999997,84
25-45,2.3565925925925932,84
45-60,2.474352941176471,84
<15,3.634,85
15-25,2.10814798206278,85
25-45,2.505604166666666,85
45-60,2.6040769230769234,85
<15,3.4749999999999996,86
15-25,2.0752499999999983,86
25-45,2.3664166666666664,86
45-60,2.9595384615384606,86
15-25,1.9095024390243913,87
25-45,2.3197042253521136,87
45-60,2.6613333333333333,87
<15,5.5169999999999995,88
15-25,2.0818767123287683,88
25-45,2.4572553191489352,88
45-60,2.6331176470588242,88
<15,2.874,89
15-25,2.0690338164251223,89
25-45,2.4166956521739134,89
45-60,2.709214285714286,89
15-25,2.119284313725491,90
25-45,2.4269500000000006,90
45-60,2.9767777777777775,90
15-25,2.087369458128079,91
25-45,2.4288571428571424,91
45-60,3.4240000000000004,91
<15,3.503,92
15-25,1.9945124378109438,92
25-45,2.399488372093023,92
45-60,2.719666666666667,92
15-25,2.0273070539419065,93
25-45,2.337808510638298,93
45-60,2.442058823529411,93
<15,3.544,94
15-25,2.08778354978355,94
25-45,2.419500000000001,94
45-60,2.688157894736842,94
15-25,2.154256756756756,95
25-45,2.3763750000000003,95
45-60,2.826916666666666,95
