small < 60px,big >= 60px,slow < 6.5s,fast >= 6.5s,favourite_game_type
2.102,1.971,1.562,2.449,RPG
2.167,2.1654999999999998,1.802,2.685,SIMULATION
2.19,1.985,1.46,2.391,LOGIC
2.4619999999999997,2.389,2.21,2.887,PLATFORM
2.6885000000000003,2.4,1.844,2.759,RTS
2.225,2.139,1.7974999999999999,2.512,FPS
3.033,3.16,3.17,3.0925000000000002,HORROR
1.7475,1.637,1.601,1.741,SURVIVAL
2.361,2.255,1.804,2.702,ACTION
1.883,1.777,1.3944999999999999,2.078,SANDBOX
,,,,MOBA
2.3099999999999996,2.32,2.169,2.541,HACK_AND_SLASH
2.4625,2.41,2.163,2.7065,MMO
2.3365,2.264,1.6524999999999999,2.601,STORY_RICH
