fav_game_type,time_to_click,time_to_fall
ACTION,2.5777166666666678,7.6730981422394
FPS,2.6477368421052625,6.7289663017258
HACK_AND_SLASH,2.34575,7.3085275431694
HORROR,2.988,7.3049037491851
LOGIC,2.26745,7.1517150403309
MMO,2.4164285714285714,7.3268229751755
PLATFORM,2.297625,6.9348936549283
RPG,2.466878787878788,6.8665960053534
RTS,2.812,6.9153182390436
SANDBOX,1.9249433962264162,7.0909863071197
SIMULATION,2.579904761904762,7.0306663383408
STORY_RICH,2.4028750000000003,6.3427577019559
SURVIVAL,2.355730769230769,6.7782993168814
ACTION,2.492857142857142,7.2024796890741
FPS,2.2244444444444444,7.2438297151583
HACK_AND_SLASH,1.911,6.4860463589175
HORROR,3.1554,6.9797202623767
LOGIC,2.373333333333333,7.6149578325497
MMO,2.435714285714286,6.3275302417999
PLATFORM,3.075333333333334,7.0627379215643
RPG,2.1474838709677413,7.7212076206004
RTS,2.452083333333333,7.3707632240909
SANDBOX,2.113860465116279,7.0149452988499
SIMULATION,2.4964285714285714,6.484290625408
STORY_RICH,1.8599,7.4768793882817
SURVIVAL,1.92725,7.5829190141618
ACTION,2.3991194029850744,7.3293987567263
FPS,2.2347500000000005,7.0947930393532
HACK_AND_SLASH,2.478,7.3653641812177
HORROR,3.5080000000000005,6.972110519802
LOGIC,2.418,7.2988144558585
MMO,2.5250999999999997,7.0559881756539
PLATFORM,2.3081666666666667,7.5185275931609
RPG,2.2702564102564096,7.2561708724341
RTS,2.351,6.4730773633045
SANDBOX,2.1224615384615384,7.1131905270043
SIMULATION,2.24756,7.4609980641098
STORY_RICH,2.793875,7.0060336096537
SURVIVAL,2.3055263157894745,6.734206598974
ACTION,2.3375733333333333,7.1722344773453
FPS,1.9892857142857143,7.0799658099683
HACK_AND_SLASH,2.2325,7.4896243406623
HORROR,3.4749999999999996,6.2800168042432
LOGIC,2.0424375000000006,7.3760411822217
MMO,2.5186666666666664,7.1191863297686
PLATFORM,2.559,6.8901850611482
RPG,2.4037692307692313,7.5281076696812
RTS,2.4341999999999997,7.4424569452247
SANDBOX,1.9044722222222223,6.5391986287763
SIMULATION,2.239645161290323,7.44081881063
STORY_RICH,2.2084,7.5164873137319
SURVIVAL,2.073,7.469625369872
ACTION,2.497701492537313,7.3365270639968
FPS,2.4786923076923078,7.1514038716016
HACK_AND_SLASH,1.608,7.0687725653666
HORROR,2.593,6.8378006162817
LOGIC,1.8145454545454547,7.3455056119343
MMO,2.4506,6.9360127984911
PLATFORM,2.1265,7.516408310161
RPG,2.6819642857142862,6.4679661905511
RTS,2.484666666666667,7.3058294833868
SANDBOX,2.129085106382979,7.171920385065
SIMULATION,2.2525000000000004,7.2654910292057
STORY_RICH,2.3964444444444446,7.6090568318952
SURVIVAL,2.1542173913043476,7.3363246370493
ACTION,2.4604864864864866,6.2453229912268
FPS,2.65878947368421,7.1795662317829
HACK_AND_SLASH,2.0869999999999997,7.6523297692112
HORROR,3.161,6.4100980580085
LOGIC,1.9614,6.6101950709409
MMO,2.4854999999999996,7.0521497838949
PLATFORM,2.6328000000000005,7.3925065225189
RPG,2.2667812500000006,6.11382726244
RTS,3.2266,6.670106191052
SANDBOX,2.0655777777777784,6.6243732969646
SIMULATION,2.4010833333333332,6.4397097259139
STORY_RICH,2.8094285714285716,6.6877298589227
SURVIVAL,2.104409090909091,7.005824691101
ACTION,2.396298507462687,7.3650408862409
FPS,2.2386363636363638,7.7959327503091
HACK_AND_SLASH,2.7778,7.1597340110565
HORROR,2.8225000000000002,6.8887107944787
LOGIC,2.298529411764706,7.8389765587516
MMO,2.5866,6.3824028579077
PLATFORM,2.030666666666667,7.4084771915463
RPG,2.2150000000000003,7.6204900002576
