fav_game_type,time_to_click,square_size
ACTION,2.5777166666666678,45
FPS,2.6477368421052625,45
HACK_AND_SLASH,2.34575,45
HORROR,2.988,45
LOGIC,2.26745,45
MMO,2.4164285714285714,45
PLATFORM,2.297625,45
RPG,2.466878787878788,45
RTS,2.812,45
SANDBOX,1.9249433962264162,45
SIMULATION,2.579904761904762,45
STORY_RICH,2.4028750000000003,45
SURVIVAL,2.355730769230769,45
ACTION,2.492857142857142,46
FPS,2.2244444444444444,46
HACK_AND_SLASH,1.911,46
HORROR,3.1554,46
LOGIC,2.373333333333333,46
MMO,2.435714285714286,46
PLATFORM,3.075333333333334,46
RPG,2.1474838709677413,46
RTS,2.452083333333333,46
SANDBOX,2.113860465116279,46
SIMULATION,2.4964285714285714,46
STORY_RICH,1.8599,46
SURVIVAL,1.92725,46
ACTION,2.3991194029850744,47
FPS,2.2347500000000005,47
HACK_AND_SLASH,2.478,47
HORROR,3.5080000000000005,47
LOGIC,2.418,47
MMO,2.5250999999999997,47
PLATFORM,2.3081666666666667,47
RPG,2.2702564102564096,47
RTS,2.351,47
SANDBOX,2.1224615384615384,47
SIMULATION,2.24756,47
STORY_RICH,2.793875,47
SURVIVAL,2.3055263157894745,47
ACTION,2.3375733333333333,48
FPS,1.9892857142857143,48
HACK_AND_SLASH,2.2325,48
HORROR,3.4749999999999996,48
LOGIC,2.0424375000000006,48
MMO,2.5186666666666664,48
PLATFORM,2.559,48
RPG,2.4037692307692313,48
RTS,2.4341999999999997,48
SANDBOX,1.9044722222222223,48
SIMULATION,2.239645161290323,48
STORY_RICH,2.2084,48
SURVIVAL,2.073,48
ACTION,2.497701492537313,49
FPS,2.4786923076923078,49
HACK_AND_SLASH,1.608,49
HORROR,2.593,49
LOGIC,1.8145454545454547,49
MMO,2.4506,49
PLATFORM,2.1265,49
RPG,2.6819642857142862,49
RTS,2.484666666666667,49
SANDBOX,2.129085106382979,49
SIMULATION,2.2525000000000004,49
STORY_RICH,2.3964444444444446,49
SURVIVAL,2.1542173913043476,49
ACTION,2.4604864864864866,50
FPS,2.65878947368421,50
HACK_AND_SLASH,2.0869999999999997,50
HORROR,3.161,50
LOGIC,1.9614,50
MMO,2.4854999999999996,50
PLATFORM,2.6328000000000005,50
RPG,2.2667812500000006,50
RTS,3.2266,50
SANDBOX,2.0655777777777784,50
SIMULATION,2.4010833333333332,50
STORY_RICH,2.8094285714285716,50
SURVIVAL,2.104409090909091,50
ACTION,2.396298507462687,51
FPS,2.2386363636363638,51
HACK_AND_SLASH,2.7778,51
HORROR,2.8225000000000002,51
LOGIC,2.298529411764706,51
MMO,2.5866,51
PLATFORM,2.030666666666667,51
RPG,2.2150000000000003,51
RTS,2.8296666666666668,51
SANDBOX,1.8228636363636368,51
SIMULATION,2.3357916666666667,51
STORY_RICH,2.1470000000000002,51
SURVIVAL,2.217303030303031,51
ACTION,2.4761749999999987,52
FPS,2.431545454545455,52
HACK_AND_SLASH,2.372666666666667,52
HORROR,2.876,52
LOGIC,1.9534666666666665,52
MMO,2.5362857142857145,52
PLATFORM,2.3914999999999997,52
RPG,2.0561219512195117,52
RTS,2.6683846153846154,52
SANDBOX,1.8938852459016393,52
SIMULATION,2.332655172413793,52
STORY_RICH,2.4491666666666667,52
SURVIVAL,1.9972142857142854,52
ACTION,2.2508214285714283,53
FPS,2.69225,53
HACK_AND_SLASH,2.474,53
HORROR,2.9558,53
LOGIC,2.127473684210526,53
MMO,2.4755,53
PLATFORM,2.392857142857143,53
RPG,1.9252571428571426,53
RTS,2.9640000000000004,53
SANDBOX,1.877066666666667,53
SIMULATION,2.4121200000000003,53
STORY_RICH,1.8295,53
SURVIVAL,2.361,53
ACTION,2.672770270270271,54
FPS,2.7751111111111118,54
HACK_AND_SLASH,3.1609999999999996,54
HORROR,2.927,54
LOGIC,2.4191875,54
MMO,2.233625,54
PLATFORM,2.7933636363636367,54
RPG,2.317392857142857,54
RTS,2.3818571428571427,54
SANDBOX,2.087887096774194,54
SIMULATION,2.3568235294117645,54
STORY_RICH,2.4427777777777777,54
SURVIVAL,2.081107142857143,54
ACTION,2.4143636363636367,55
FPS,2.2115555555555555,55
HACK_AND_SLASH,2.13925,55
LOGIC,2.09921052631579,55
MMO,2.8395,55
PLATFORM,2.847,55
RPG,2.5065714285714282,55
RTS,2.91925,55
SANDBOX,1.9450857142857139,55
SIMULATION,2.4166969696969702,55
STORY_RICH,1.9363333333333335,55
SURVIVAL,2.174000000000001,55
ACTION,2.513916666666667,56
FPS,2.4690434782608692,56
HACK_AND_SLASH,2.3634999999999997,56
HORROR,3.375666666666666,56
LOGIC,2.5369999999999995,56
MMO,3.0392500000000005,56
PLATFORM,1.9445,56
RPG,2.292380952380953,56
RTS,3.0314444444444444,56
SANDBOX,1.9454848484848484,56
SIMULATION,2.5139565217391304,56
STORY_RICH,1.8974,56
SURVIVAL,1.8759666666666666,56
ACTION,2.4049036144578304,57
FPS,2.1699599999999997,57
HACK_AND_SLASH,2.112,57
HORROR,3.577,57
LOGIC,2.329875,57
MMO,2.2725,57
PLATFORM,2.5215555555555556,57
RPG,2.2272631578947366,57
RTS,2.4993636363636367,57
SANDBOX,2.06127027027027,57
SIMULATION,1.9535,57
STORY_RICH,2.3554444444444442,57
SURVIVAL,1.7141764705882352,57
ACTION,2.3401515151515153,58
FPS,2.3477777777777775,58
HORROR,2.97275,58
LOGIC,2.2830000000000004,58
MMO,2.2418333333333336,58
PLATFORM,2.36775,58
RPG,2.0122857142857145,58
RTS,2.9619166666666668,58
SANDBOX,1.8554893617021273,58
SIMULATION,2.091482758620689,58
STORY_RICH,1.999857142857143,58
SURVIVAL,1.9784242424242424,58
ACTION,2.3512142857142857,59
FPS,2.2240555555555557,59
HORROR,2.517,59
LOGIC,2.2683125000000004,59
MMO,1.9222857142857142,59
PLATFORM,2.3848571428571432,59
RPG,2.302404761904762,59
RTS,2.6595714285714287,59
SANDBOX,1.9680740740740734,59
SIMULATION,2.203439999999999,59
STORY_RICH,2.384875,59
SURVIVAL,1.8898518518518523,59
ACTION,2.4337662337662334,60
FPS,2.463,60
HACK_AND_SLASH,2.202,60
HORROR,3.785,60
LOGIC,2.0230833333333327,60
MMO,3.10575,60
PLATFORM,2.9056666666666664,60
RPG,2.0685357142857144,60
RTS,2.5647,60
SANDBOX,1.881925,60
SIMULATION,2.131809523809524,60
STORY_RICH,2.4232727272727272,60
SURVIVAL,2.1597619047619045,60
ACTION,2.292741935483871,61
FPS,2.074173913043478,61
HACK_AND_SLASH,3.249,61
HORROR,3.2435,61
LOGIC,1.939857142857143,61
MMO,2.109,61
PLATFORM,2.6215,61
RPG,2.178348837209302,61
RTS,2.5425714285714283,61
SANDBOX,1.8474893617021273,61
SIMULATION,2.4312105263157893,61
STORY_RICH,2.2105,61
SURVIVAL,2.0128823529411766,61
ACTION,2.5687464788732393,62
FPS,2.4856000000000003,62
HACK_AND_SLASH,1.9412500000000001,62
HORROR,2.9170000000000003,62
LOGIC,1.941277777777778,62
MMO,2.6061666666666667,62
PLATFORM,2.73175,62
RPG,1.9881707317073172,62
RTS,1.9227272727272728,62
SANDBOX,2.0208461538461537,62
SIMULATION,2.2277083333333336,62
STORY_RICH,2.4846666666666666,62
SURVIVAL,1.6814615384615388,62
ACTION,2.4309344262295083,63
FPS,2.2983888888888884,63
HACK_AND_SLASH,2.7093333333333334,63
HORROR,3.598,63
LOGIC,2.245375,63
MMO,2.7704444444444447,63
PLATFORM,2.0066,63
RPG,2.2590750000000006,63
RTS,2.3684,63
SANDBOX,1.9603902439024392,63
SIMULATION,2.2018529411764707,63
STORY_RICH,2.125875,63
SURVIVAL,2.2293714285714286,63
ACTION,2.495737704918033,64
FPS,2.2235714285714283,64
HACK_AND_SLASH,2.4894999999999996,64
HORROR,2.8105,64
LOGIC,1.8524545454545454,64
MMO,2.3915,64
PLATFORM,2.456857142857143,64
RPG,2.265102564102564,64
RTS,1.5075,64
SANDBOX,1.9856216216216218,64
SIMULATION,2.207277777777778,64
STORY_RICH,2.3995,64
SURVIVAL,1.8480000000000005,64
ACTION,2.363057971014492,65
FPS,1.9378421052631576,65
HACK_AND_SLASH,1.989,65
HORROR,2.97,65
LOGIC,2.098130434782608,65
MMO,2.891090909090909,65
PLATFORM,2.783,65
RPG,2.3497714285714286,65
RTS,2.3400000000000003,65
SANDBOX,1.8758039215686269,65
SIMULATION,2.0249696969696966,65
STORY_RICH,2.554555555555556,65
SURVIVAL,1.943818181818182,65
ACTION,2.222569230769231,66
FPS,2.561851851851852,66
HACK_AND_SLASH,2.214,66
HORROR,2.967333333333333,66
LOGIC,2.414277777777778,66
MMO,2.298,66
PLATFORM,2.2840000000000007,66
RPG,1.9607741935483873,66
RTS,2.472888888888889,66
SANDBOX,1.9466666666666663,66
SIMULATION,2.1651666666666665,66
STORY_RICH,2.3114,66
SURVIVAL,2.0991428571428568,66
ACTION,2.4357068965517246,67
FPS,2.2868888888888885,67
HACK_AND_SLASH,2.225,67
HORROR,2.707,67
LOGIC,2.3854210526315787,67
MMO,2.1011666666666664,67
PLATFORM,2.3393333333333337,67
RPG,2.2305625000000004,67
RTS,2.020285714285714,67
SANDBOX,1.8442682926829268,67
SIMULATION,2.5293478260869566,67
STORY_RICH,2.474,67
SURVIVAL,1.7693214285714285,67
ACTION,2.288883333333333,68
FPS,2.2950769230769232,68
HACK_AND_SLASH,3.12,68
HORROR,3.5690000000000004,68
LOGIC,1.9955882352941174,68
MMO,2.1706,68
PLATFORM,2.3938571428571427,68
RPG,2.382142857142857,68
RTS,1.7126666666666666,68
SANDBOX,2.0889583333333346,68
SIMULATION,2.2837037037037042,68
STORY_RICH,2.2818333333333336,68
SURVIVAL,2.0898076923076925,68
ACTION,2.3245466666666674,69
FPS,2.505208333333333,69
HACK_AND_SLASH,2.6905,69
HORROR,3.145666666666667,69
LOGIC,1.8126666666666664,69
MMO,2.1047499999999997,69
PLATFORM,2.4855,69
RPG,2.113658536585366,69
RTS,2.3558888888888885,69
SANDBOX,1.8392500000000003,69
SIMULATION,2.0728636363636364,69
STORY_RICH,2.3747999999999996,69
SURVIVAL,1.8715000000000008,69
ACTION,2.250405063291139,70
FPS,2.2871250000000005,70
HACK_AND_SLASH,2.685666666666666,70
HORROR,3.5353333333333334,70
LOGIC,2.1952,70
MMO,2.6603333333333334,70
PLATFORM,2.5378333333333334,70
RPG,2.1988000000000003,70
RTS,2.8464444444444443,70
SANDBOX,1.9255121951219512,70
SIMULATION,2.1439642857142855,70
STORY_RICH,2.514714285714286,70
SURVIVAL,1.7526190476190473,70
ACTION,2.2377236842105264,71
FPS,2.0487000000000006,71
HACK_AND_SLASH,1.803,71
HORROR,3.462571428571429,71
LOGIC,2.0041875,71
MMO,2.51,71
PLATFORM,2.1866666666666665,71
RPG,2.2910999999999997,71
RTS,2.458666666666667,71
SANDBOX,1.9212307692307695,71
SIMULATION,2.2713870967741934,71
STORY_RICH,2.0625384615384617,71
SURVIVAL,1.876842105263158,71
ACTION,2.4380441176470584,72
FPS,2.352260869565218,72
HACK_AND_SLASH,2.0996666666666663,72
HORROR,3.2718000000000003,72
LOGIC,2.277615384615385,72
MMO,2.2876666666666665,72
PLATFORM,2.3939999999999997,72
RPG,1.9229767441860466,72
RTS,2.585153846153846,72
SANDBOX,1.9427547169811317,72
SIMULATION,2.3384374999999995,72
STORY_RICH,2.2445,72
SURVIVAL,2.17156,72
ACTION,2.4930394736842114,73
FPS,2.38348275862069,73
HACK_AND_SLASH,1.95825,73
HORROR,3.3955,73
LOGIC,1.9835882352941174,73
MMO,2.4344444444444444,73
PLATFORM,2.4915000000000003,73
RPG,2.132390243902439,73
RTS,2.252125,73
SANDBOX,2.008714285714286,73
SIMULATION,2.421379310344828,73
STORY_RICH,2.6243636363636367,73
SURVIVAL,1.83948,73
ACTION,2.4029000000000003,74
FPS,2.0988518518518515,74
HORROR,3.0978000000000003,74
LOGIC,2.165857142857143,74
MMO,2.9273999999999996,74
PLATFORM,3.0714285714285716,74
RPG,1.8940624999999998,74
RTS,2.971,74
SANDBOX,2.1271304347826088,74
SIMULATION,2.2871428571428574,74
STORY_RICH,1.8875714285714287,74
SURVIVAL,1.7826153846153845,74
ACTION,2.370469879518073,75
FPS,2.177785714285714,75
HACK_AND_SLASH,2.343,75
HORROR,3.1808,75
