gender,time_to_click,time_to_fall
MALE,1.478,7.7956346465017
MALE,1.239,7.5872083246193
MALE,1.636,7.3548747064597
MALE,1.092,7.8389269433911
MALE,2.15,7.7349688571388
MALE,1.027,7.0859696336598
MALE,0.915,7.1995637182637
MALE,1.11,7.8421860937695
MALE,1.442,7.3580501549068
MALE,1.265,7.2705970934479
FEMALE,4.354,7.5015652024771
MALE,1.279,7.6513521440529
FEMALE,2.076,7.4720817893766
MALE,1.17,7.1647903533365
MALE,1.763,7.2047805864302
FEMALE,1.722,7.5750835935767
MALE,1.179,7.3523039437131
MALE,1.374,7.2952417017872
MALE,2.433,7.3152621962598
MALE,0.883,7.4165098091428
MALE,0.859,7.2856924726778
MALE,3.081,7.8535651959158
FEMALE,2.71,7.7878080570895
MALE,1.714,7.0802187146546
MALE,2.2,7.0953256144987
NOT_KNOW,1.27,7.3194573355861
MALE,1.554,7.0719142739659
MALE,3.188,7.7174880524842
MALE,1.39,7.6357518144096
MALE,1.41,7.8109650376921
MALE,2.275,7.8461655153814
MALE,1.727,7.363845308342
MALE,0.954,7.3539363853858
MALE,1.621,7.2544508670873
MALE,1.39,7.3586758215592
MALE,1.086,7.4238294618862
MALE,1.176,7.1578802418398
MALE,1.655,7.3604007693655
FEMALE,1.142,7.1764550648158
BOTH,0.84,7.4307082610796
MALE,1.336,7.8685618475696
MALE,1.094,7.1201488592415
MALE,1.106,7.3329369703824
MALE,1.206,7.4459033209838
MALE,5.842,7.221280140396
MALE,2.68,7.3797155490733
MALE,1.141,7.7043136912185
MALE,1.189,7.107851494947
MALE,1.351,7.6168632776212
MALE,1.335,7.1111097978978
MALE,1.038,7.033430482937
MALE,2.48,7.6812438844493
MALE,1.01,7.1627766386978
MALE,1.248,7.8811088919946
