gender,time_to_click,square_size
MALE,1.478,84
MALE,1.239,52
MALE,1.636,72
MALE,1.092,90
MALE,2.15,81
MALE,1.027,93
MALE,0.915,90
MALE,1.11,71
MALE,1.442,61
MALE,1.265,82
FEMALE,4.354,56
MALE,1.279,49
FEMALE,2.076,88
MALE,1.17,68
MALE,1.763,71
FEMALE,1.722,51
MALE,1.179,66
MALE,1.374,87
MALE,2.433,64
MALE,0.883,94
MALE,0.859,48
MALE,3.081,86
FEMALE,2.71,77
MALE,1.714,94
MALE,2.2,77
NOT_KNOW,1.27,81
MALE,1.554,81
MALE,3.188,54
MALE,1.39,59
MALE,1.41,93
MALE,2.275,75
MALE,1.727,74
MALE,0.954,63
MALE,1.621,92
MALE,1.39,84
MALE,1.086,90
MALE,1.176,67
MALE,1.655,62
FEMALE,1.142,85
BOTH,0.84,57
MALE,1.336,52
MALE,1.094,67
MALE,1.106,69
MALE,1.206,59
MALE,5.842,63
MALE,2.68,62
MALE,1.141,91
MALE,1.189,56
MALE,1.351,66
MALE,1.335,88
MALE,1.038,58
MALE,2.48,76
MALE,1.01,68
MALE,1.248,87
