gender,time_to_click,time_to_fall
BOTH,1.6519166666666665,7.2891792579701
FEMALE,2.6154444444444445,7.3049037491851
MALE,2.4522863436123354,7.0306663383408
NOT_KNOW,1.5715833333333336,7.290887260982
BOTH,2.38825,6.7304869225117
FEMALE,2.4471578947368426,6.9797202623767
MALE,2.316344827586208,6.484290625408
NOT_KNOW,1.8833333333333335,7.8299119075702
BOTH,2.005363636363636,7.2548426153294
FEMALE,2.917615384615385,6.972110519802
MALE,2.3355231481481487,7.4609980641098
NOT_KNOW,1.8604444444444443,7.0813760540121
BOTH,1.912111111111111,7.1413518492457
FEMALE,2.3991428571428566,6.2800168042432
MALE,2.266967346938775,7.44081881063
NOT_KNOW,1.5036666666666667,7.4634534974943
BOTH,2.1222000000000003,7.1228558608098
FEMALE,2.6246666666666667,6.8378006162817
MALE,2.364074889867841,7.2654910292057
NOT_KNOW,1.9576666666666669,7.3365158875561
BOTH,1.6244545454545454,7.3136278256868
FEMALE,2.9149000000000003,6.4100980580085
MALE,2.4116882591093125,6.4397097259139
NOT_KNOW,1.714888888888889,7.4256368129467
BOTH,1.4622857142857142,7.4830067464748
FEMALE,2.3565,6.8887107944787
MALE,2.2895256916996054,5.773213531099
NOT_KNOW,1.7502727272727276,6.9637583825939
BOTH,1.7448333333333335,7.1251468829575
FEMALE,2.576842105263158,6.8871791476447
MALE,2.260294964028777,7.8661132363697
NOT_KNOW,1.9572352941176472,7.6870694135281
BOTH,1.2435,7.5082403476048
FEMALE,2.447923076923077,7.0514584650333
MALE,2.2679618644067814,7.1144506042406
NOT_KNOW,1.753818181818182,7.502838149736
BOTH,2.1113,7.1261854161992
FEMALE,2.8738666666666663,6.7032129120533
MALE,2.446274193548386,6.3338274028367
NOT_KNOW,1.8255555555555556,6.7620053120128
BOTH,1.673,7.1778912458119
FEMALE,2.05125,7.6762325203548
MALE,2.361147859922178,7.0406910204276
NOT_KNOW,1.6503,7.6341793292844
BOTH,1.8612499999999998,7.6860478971014
FEMALE,2.45175,7.5015652024771
MALE,2.3943907563025224,7.5456817264735
NOT_KNOW,1.6275384615384614,7.1050044928039
BOTH,2.3777777777777778,7.4307082610796
FEMALE,2.518692307692308,7.2575859153169
MALE,2.2403881856540098,7.008849947351
NOT_KNOW,1.8667000000000002,7.3507117144403
BOTH,1.4756,7.6150320903402
FEMALE,2.33825,7.2603541649649
MALE,2.222664000000001,7.4628290174892
NOT_KNOW,1.6583999999999999,6.5355437183399
BOTH,1.9405555555555556,7.2449259613751
FEMALE,2.472538461538461,7.5968750274111
MALE,2.2459469026548655,6.2048835514717
NOT_KNOW,1.5605238095238096,7.1125450442028
BOTH,1.9428571428571428,7.1971659735442
FEMALE,2.639823529411765,7.0128318020034
MALE,2.3132884615384626,7.8835336970182
NOT_KNOW,1.514125,7.5015191948862
BOTH,1.7515714285714288,7.4287243301819
FEMALE,2.5513076923076925,7.0092132027264
MALE,2.2014285714285715,6.2322447842999
NOT_KNOW,1.5652857142857144,7.0873134915219
BOTH,1.67075,7.4873306043702
FEMALE,2.647875,6.5088451553999
MALE,2.222132530120482,7.825732445002
NOT_KNOW,1.8078333333333332,6.2249846267497
BOTH,1.9166249999999998,7.1216979530476
FEMALE,2.6165833333333333,6.8849728349414
