gender,time_to_click,square_size
BOTH,1.6519166666666665,45
FEMALE,2.6154444444444445,45
MALE,2.4522863436123354,45
NOT_KNOW,1.5715833333333336,45
BOTH,2.38825,46
FEMALE,2.4471578947368426,46
MALE,2.316344827586208,46
NOT_KNOW,1.8833333333333335,46
BOTH,2.005363636363636,47
FEMALE,2.917615384615385,47
MALE,2.3355231481481487,47
NOT_KNOW,1.8604444444444443,47
BOTH,1.912111111111111,48
FEMALE,2.3991428571428566,48
MALE,2.266967346938775,48
NOT_KNOW,1.5036666666666667,48
BOTH,2.1222000000000003,49
FEMALE,2.6246666666666667,49
MALE,2.364074889867841,49
NOT_KNOW,1.9576666666666669,49
BOTH,1.6244545454545454,50
FEMALE,2.9149000000000003,50
MALE,2.4116882591093125,50
NOT_KNOW,1.714888888888889,50
BOTH,1.4622857142857142,51
FEMALE,2.3565,51
MALE,2.2895256916996054,51
NOT_KNOW,1.7502727272727276,51
BOTH,1.7448333333333335,52
FEMALE,2.576842105263158,52
MALE,2.260294964028777,52
NOT_KNOW,1.9572352941176472,52
BOTH,1.2435,53
FEMALE,2.447923076923077,53
MALE,2.2679618644067814,53
NOT_KNOW,1.753818181818182,53
BOTH,2.1113,54
FEMALE,2.8738666666666663,54
MALE,2.446274193548386,54
NOT_KNOW,1.8255555555555556,54
BOTH,1.673,55
FEMALE,2.05125,55
MALE,2.361147859922178,55
NOT_KNOW,1.6503,55
BOTH,1.8612499999999998,56
FEMALE,2.45175,56
MALE,2.3943907563025224,56
NOT_KNOW,1.6275384615384614,56
BOTH,2.3777777777777778,57
FEMALE,2.518692307692308,57
MALE,2.2403881856540098,57
NOT_KNOW,1.8667000000000002,57
BOTH,1.4756,58
FEMALE,2.33825,58
MALE,2.222664000000001,58
NOT_KNOW,1.6583999999999999,58
BOTH,1.9405555555555556,59
FEMALE,2.472538461538461,59
MALE,2.2459469026548655,59
NOT_KNOW,1.5605238095238096,59
BOTH,1.9428571428571428,60
FEMALE,2.639823529411765,60
MALE,2.3132884615384626,60
NOT_KNOW,1.514125,60
BOTH,1.7515714285714288,61
FEMALE,2.5513076923076925,61
MALE,2.2014285714285715,61
NOT_KNOW,1.5652857142857144,61
BOTH,1.67075,62
FEMALE,2.647875,62
MALE,2.222132530120482,62
NOT_KNOW,1.8078333333333332,62
BOTH,1.9166249999999998,63
FEMALE,2.6165833333333333,63
MALE,2.294162264150945,63
NOT_KNOW,1.6202222222222222,63
BOTH,1.8704999999999998,64
FEMALE,2.4817000000000005,64
MALE,2.219967592592591,64
NOT_KNOW,2.2208666666666668,64
BOTH,1.8296666666666666,65
FEMALE,2.6854999999999998,65
MALE,2.191259398496242,65
NOT_KNOW,1.7195,65
BOTH,2.0071666666666665,66
FEMALE,2.4960625,66
MALE,2.2090708661417304,66
NOT_KNOW,1.7174999999999998,66
BOTH,1.7327499999999998,67
FEMALE,2.6434545454545457,67
MALE,2.2496206896551714,67
NOT_KNOW,1.5950714285714285,67
BOTH,1.9628,68
FEMALE,2.904166666666667,68
MALE,2.237960869565218,68
NOT_KNOW,1.8856363636363633,68
BOTH,1.4157999999999997,69
FEMALE,2.8026666666666666,69
MALE,2.1691204819277097,69
NOT_KNOW,1.801,69
BOTH,2.3688,70
FEMALE,2.9681333333333337,70
MALE,2.1915208333333336,70
NOT_KNOW,1.8631052631578948,70
BOTH,2.27,71
FEMALE,2.5525500000000005,71
MALE,2.1778106995884774,71
NOT_KNOW,1.5968461538461538,71
BOTH,2.0194444444444444,72
FEMALE,2.7656,72
MALE,2.248350210970463,72
NOT_KNOW,1.6112941176470585,72
BOTH,1.4751666666666665,73
FEMALE,2.8036,73
MALE,2.264879562043794,73
NOT_KNOW,2.0187692307692306,73
BOTH,1.8887142857142858,74
FEMALE,2.389214285714286,74
MALE,2.248390350877194,74
NOT_KNOW,1.6275999999999997,74
BOTH,2.0935555555555556,75
FEMALE,2.6867692307692304,75
MALE,2.280519313304721,75
NOT_KNOW,1.495875,75
BOTH,1.6564285714285716,76
FEMALE,2.738777777777778,76
MALE,2.133258687258687,76
NOT_KNOW,1.881692307692308,76
BOTH,1.6586666666666667,77
FEMALE,2.7155333333333336,77
MALE,2.257158536585364,77
NOT_KNOW,1.7527000000000001,77
BOTH,1.9053749999999998,78
FEMALE,2.5056111111111115,78
MALE,2.122645669291338,78
NOT_KNOW,1.7943333333333333,78
BOTH,1.8423333333333334,79
FEMALE,2.3812857142857142,79
MALE,2.1993347107438015,79
NOT_KNOW,1.6776000000000004,79
BOTH,1.7264444444444444,80
FEMALE,2.3695,80
MALE,2.2331118881118885,80
NOT_KNOW,1.6273,80
BOTH,1.9085714285714286,81
FEMALE,2.6344444444444446,81
MALE,2.3128902953586503,81
NOT_KNOW,1.6110000000000002,81
BOTH,1.9601999999999997,82
FEMALE,2.2875,82
MALE,2.1963828125,82
NOT_KNOW,1.850125,82
BOTH,2.4937500000000004,83
FEMALE,2.622,83
MALE,2.2016254545454546,83
NOT_KNOW,1.6963846153846154,83
BOTH,1.9394545454545453,84
FEMALE,2.6310000000000002,84
MALE,2.2288722627737223,84
NOT_KNOW,1.7522142857142857,84
BOTH,1.4897777777777779,85
FEMALE,2.662894736842105,85
MALE,2.2012983870967724,85
NOT_KNOW,1.9942222222222223,85
BOTH,1.54375,86
FEMALE,2.6637999999999997,86
MALE,2.240570093457943,86
NOT_KNOW,1.473909090909091,86
BOTH,1.9683846153846152,87
FEMALE,2.3396923076923075,87
MALE,2.0361792828685275,87
NOT_KNOW,1.9088181818181817,87
BOTH,2.207,88
FEMALE,2.3973333333333335,88
MALE,2.206337164750958,88
NOT_KNOW,1.5591666666666668,88
BOTH,1.9080000000000001,89
FEMALE,2.58,89
MALE,2.168017021276597,89
NOT_KNOW,1.5067777777777778,89
BOTH,1.9583000000000002,90
FEMALE,2.441357142857143,90
MALE,2.230066945606694,90
NOT_KNOW,1.7993999999999999,90
BOTH,1.9531428571428575,91
FEMALE,2.841333333333333,91
MALE,2.212264317180617,91
NOT_KNOW,1.9278571428571427,91
BOTH,1.6634,92
FEMALE,2.4753333333333334,92
MALE,2.116682819383259,92
NOT_KNOW,1.853,92
BOTH,1.6732,93
FEMALE,2.5382499999999997,93
MALE,2.129049429657795,93
NOT_KNOW,1.6421,93
BOTH,1.9106666666666667,94
FEMALE,2.858571428571428,94
MALE,2.1594493927125513,94
NOT_KNOW,1.6476428571428572,94
BOTH,1.7358888888888886,95
FEMALE,2.9247999999999994,95
MALE,2.1933918367346923,95
NOT_KNOW,1.8417499999999996,95
