preferred_playing_style,time_to_click,time_to_fall
GAMEPAD,3.0500588235294117,7.0306663383408
MOUSE_AND_KEYBOARD,2.343345528455286,6.8665960053534
PHONE,2.3525,6.8717432178067
GAMEPAD,2.86075,6.484290625408
MOUSE_AND_KEYBOARD,2.264319672131148,7.7212076206004
PHONE,2.8276,6.8284944561489
GAMEPAD,2.3720000000000003,7.4609980641098
MOUSE_AND_KEYBOARD,2.3320343347639487,7.2561708724341
PHONE,2.3165,7.2209565325801
GAMEPAD,2.5243888888888892,7.44081881063
MOUSE_AND_KEYBOARD,2.2164031007751923,7.5281076696812
PHONE,2.466,6.8901850611482
GAMEPAD,2.742,7.2654910292057
MOUSE_AND_KEYBOARD,2.3193109243697485,6.4679661905511
PHONE,1.281,7.516408310161
GAMEPAD,2.7189444444444444,6.4397097259139
MOUSE_AND_KEYBOARD,2.350241245136187,6.11382726244
PHONE,2.593,7.3925065225189
GAMEPAD,2.5379333333333336,5.773213531099
MOUSE_AND_KEYBOARD,2.2355111940298507,7.6204900002576
PHONE,2.3142500000000004,7.5750835935767
GAMEPAD,2.5355,7.8661132363697
MOUSE_AND_KEYBOARD,2.2178283828382828,7.5872083246193
PHONE,2.9403333333333332,7.1872395735224
GAMEPAD,2.722923076923077,7.1144506042406
MOUSE_AND_KEYBOARD,2.2133428571428584,7.194287767386
PHONE,2.2768333333333333,7.7094740169391
GAMEPAD,3.2905333333333333,6.3338274028367
MOUSE_AND_KEYBOARD,2.3620257352941167,6.7961567474726
PHONE,2.982,6.7498322348884
GAMEPAD,3.0194375000000004,7.0406910204276
MOUSE_AND_KEYBOARD,2.274050980392156,7.0093946973566
PHONE,2.782666666666666,7.6762325203548
GAMEPAD,2.8897999999999997,7.5456817264735
MOUSE_AND_KEYBOARD,2.312139442231076,7.6076123033322
PHONE,1.833,6.8953386230187
GAMEPAD,2.448,7.008849947351
MOUSE_AND_KEYBOARD,2.2245378486055793,7.198515323031
PHONE,2.7198,6.8668357753593
GAMEPAD,2.470799999999999,7.4628290174892
MOUSE_AND_KEYBOARD,2.164805243445694,6.433532500804
GAMEPAD,2.7934736842105257,6.2048835514717
MOUSE_AND_KEYBOARD,2.142306122448978,7.3996074475459
PHONE,2.4044,7.1085171608467
GAMEPAD,2.5010000000000003,7.8835336970182
MOUSE_AND_KEYBOARD,2.258575107296138,7.3949018105059
PHONE,2.553,7.8264385424213
GAMEPAD,2.689294117647059,6.2322447842999
MOUSE_AND_KEYBOARD,2.1343617886178867,7.2065370248931
PHONE,2.5505,6.8171464248248
GAMEPAD,2.5299166666666664,7.825732445002
MOUSE_AND_KEYBOARD,2.201098484848484,6.6977428844906
PHONE,2.8136666666666663,7.797754939593
GAMEPAD,2.5256875,5.9107757635041
MOUSE_AND_KEYBOARD,2.2627309090909105,7.2390589945794
PHONE,2.2016666666666667,7.0727296434857
GAMEPAD,2.464384615384616,6.0189214707787
MOUSE_AND_KEYBOARD,2.211373913043477,7.3175577291636
PHONE,2.2359999999999998,7.1664381702322
GAMEPAD,2.2242941176470583,6.2575177323568
MOUSE_AND_KEYBOARD,2.1837622377622394,6.5061848622822
PHONE,2.625,7.8859092810551
GAMEPAD,2.4702142857142855,7.3395483747133
MOUSE_AND_KEYBOARD,2.1654873646209385,6.600710710504
PHONE,2.9498,7.6951322217248
GAMEPAD,2.9381250000000003,7.2078285240693
