preferred_playing_style,time_to_click,square_size
GAMEPAD,3.0500588235294117,45
MOUSE_AND_KEYBOARD,2.343345528455286,45
PHONE,2.3525,45
GAMEPAD,2.86075,46
MOUSE_AND_KEYBOARD,2.264319672131148,46
PHONE,2.8276,46
GAMEPAD,2.3720000000000003,47
MOUSE_AND_KEYBOARD,2.3320343347639487,47
PHONE,2.3165,47
GAMEPAD,2.5243888888888892,48
MOUSE_AND_KEYBOARD,2.2164031007751923,48
PHONE,2.466,48
GAMEPAD,2.742,49
MOUSE_AND_KEYBOARD,2.3193109243697485,49
PHONE,1.281,49
GAMEPAD,2.7189444444444444,50
MOUSE_AND_KEYBOARD,2.350241245136187,50
PHONE,2.593,50
GAMEPAD,2.5379333333333336,51
MOUSE_AND_KEYBOARD,2.2355111940298507,51
PHONE,2.3142500000000004,51
GAMEPAD,2.5355,52
MOUSE_AND_KEYBOARD,2.2178283828382828,52
PHONE,2.9403333333333332,52
GAMEPAD,2.722923076923077,53
MOUSE_AND_KEYBOARD,2.2133428571428584,53
PHONE,2.2768333333333333,53
GAMEPAD,3.2905333333333333,54
MOUSE_AND_KEYBOARD,2.3620257352941167,54
PHONE,2.982,54
GAMEPAD,3.0194375000000004,55
MOUSE_AND_KEYBOARD,2.274050980392156,55
PHONE,2.782666666666666,55
GAMEPAD,2.8897999999999997,56
MOUSE_AND_KEYBOARD,2.312139442231076,56
PHONE,1.833,56
GAMEPAD,2.448,57
MOUSE_AND_KEYBOARD,2.2245378486055793,57
PHONE,2.7198,57
GAMEPAD,2.470799999999999,58
MOUSE_AND_KEYBOARD,2.164805243445694,58
GAMEPAD,2.7934736842105257,59
MOUSE_AND_KEYBOARD,2.142306122448978,59
PHONE,2.4044,59
GAMEPAD,2.5010000000000003,60
MOUSE_AND_KEYBOARD,2.258575107296138,60
PHONE,2.553,60
GAMEPAD,2.689294117647059,61
MOUSE_AND_KEYBOARD,2.1343617886178867,61
PHONE,2.5505,61
GAMEPAD,2.5299166666666664,62
MOUSE_AND_KEYBOARD,2.201098484848484,62
PHONE,2.8136666666666663,62
GAMEPAD,2.5256875,63
MOUSE_AND_KEYBOARD,2.2627309090909105,63
PHONE,2.2016666666666667,63
GAMEPAD,2.464384615384616,64
MOUSE_AND_KEYBOARD,2.211373913043477,64
PHONE,2.2359999999999998,64
GAMEPAD,2.2242941176470583,65
