work_type,time_to_click,time_to_fall
BURNT_OUT,1.61175,7.290887260982
MENTAL,2.6416575342465745,7.0306663383408
MIXED,2.3487999999999998,6.821951244737
PHYSICAL,3.278,7.1167484797361
STUDENT,2.3602058823529415,6.9153182390436
WORKING_STUDENT_MENTAL,2.3867978723404257,7.050459983161
WORKING_STUDENT_PHYSICAL,2.75775,6.8550828629535
BURNT_OUT,2.2199444444444447,7.8299119075702
MENTAL,2.587507042253522,6.484290625408
MIXED,3.025,6.2203835566323
PHYSICAL,3.7104999999999997,7.6450296216987
STUDENT,2.009738095238095,7.3707632240909
WORKING_STUDENT_MENTAL,2.365172413793104,6.8043896496174
WORKING_STUDENT_PHYSICAL,2.2727500000000003,7.4465792950373
BURNT_OUT,1.9401499999999998,7.0813760540121
MENTAL,2.441927536231885,7.4609980641098
MIXED,3.624,6.6506036579914
STUDENT,2.3375873015873023,6.4730773633045
WORKING_STUDENT_MENTAL,2.302882978723404,7.310748014489
WORKING_STUDENT_PHYSICAL,3.273,7.1089570801153
BURNT_OUT,1.7078888888888888,7.4634534974943
MENTAL,2.6225357142857137,7.44081881063
MIXED,2.1677999999999997,6.9153217306705
PHYSICAL,3.0275,7.4954650230016
STUDENT,2.079945054945054,7.4424569452247
WORKING_STUDENT_MENTAL,2.275475247524753,7.8681933052536
WORKING_STUDENT_PHYSICAL,1.5352500000000002,7.5610387105815
BURNT_OUT,1.9988,7.3365158875561
MENTAL,2.5065000000000004,7.2654910292057
MIXED,2.5408333333333335,7.8266325206731
PHYSICAL,5.623,7.0498550867927
STUDENT,2.263373333333333,7.3058294833868
WORKING_STUDENT_MENTAL,2.330465909090908,6.8081877223189
WORKING_STUDENT_PHYSICAL,2.4337142857142857,7.1166841640392
BURNT_OUT,1.66515,7.4256368129467
MENTAL,2.659777777777778,6.4397097259139
MIXED,2.1521666666666666,7.5372735367084
PHYSICAL,4.423,6.7226036153608
STUDENT,2.2738552631578948,6.670106191052
WORKING_STUDENT_MENTAL,2.3743365384615385,7.5989101567954
WORKING_STUDENT_PHYSICAL,2.6278333333333332,6.2972037246666
BURNT_OUT,1.638277777777778,6.9637583825939
MENTAL,2.3313846153846156,5.773213531099
MIXED,2.189,7.5255975963668
PHYSICAL,3.124,7.3907771584545
STUDENT,2.3070581395348833,7.3657866277958
WORKING_STUDENT_MENTAL,2.257954128440367,6.8311181000423
WORKING_STUDENT_PHYSICAL,2.01875,7.2682996640438
BURNT_OUT,1.8693448275862068,7.6870694135281
MENTAL,2.348654761904763,7.8661132363697
MIXED,1.7233333333333334,6.8456899349709
PHYSICAL,3.1696666666666666,7.0096994056086
STUDENT,2.1972952380952373,7.0823756911828
WORKING_STUDENT_MENTAL,2.3104494382022476,6.9410811945886
WORKING_STUDENT_PHYSICAL,2.384,7.8685618475696
BURNT_OUT,1.6177333333333332,7.502838149736
MENTAL,2.3622666666666663,7.1144506042406
