work_type,time_to_click,square_size
BURNT_OUT,1.61175,45
MENTAL,2.6416575342465745,45
MIXED,2.3487999999999998,45
PHYSICAL,3.278,45
STUDENT,2.3602058823529415,45
WORKING_STUDENT_MENTAL,2.3867978723404257,45
WORKING_STUDENT_PHYSICAL,2.75775,45
BURNT_OUT,2.2199444444444447,46
MENTAL,2.587507042253522,46
MIXED,3.025,46
PHYSICAL,3.7104999999999997,46
STUDENT,2.009738095238095,46
WORKING_STUDENT_MENTAL,2.365172413793104,46
WORKING_STUDENT_PHYSICAL,2.2727500000000003,46
BURNT_OUT,1.9401499999999998,47
MENTAL,2.441927536231885,47
MIXED,3.624,47
STUDENT,2.3375873015873023,47
WORKING_STUDENT_MENTAL,2.302882978723404,47
WORKING_STUDENT_PHYSICAL,3.273,47
BURNT_OUT,1.7078888888888888,48
MENTAL,2.6225357142857137,48
MIXED,2.1677999999999997,48
PHYSICAL,3.0275,48
STUDENT,2.079945054945054,48
WORKING_STUDENT_MENTAL,2.275475247524753,48
WORKING_STUDENT_PHYSICAL,1.5352500000000002,48
BURNT_OUT,1.9988,49
MENTAL,2.5065000000000004,49
MIXED,2.5408333333333335,49
PHYSICAL,5.623,49
STUDENT,2.263373333333333,49
WORKING_STUDENT_MENTAL,2.330465909090908,49
WORKING_STUDENT_PHYSICAL,2.4337142857142857,49
BURNT_OUT,1.66515,50
MENTAL,2.659777777777778,50
MIXED,2.1521666666666666,50
PHYSICAL,4.423,50
STUDENT,2.2738552631578948,50
WORKING_STUDENT_MENTAL,2.3743365384615385,50
WORKING_STUDENT_PHYSICAL,2.6278333333333332,50
BURNT_OUT,1.638277777777778,51
MENTAL,2.3313846153846156,51
MIXED,2.189,51
PHYSICAL,3.124,51
STUDENT,2.3070581395348833,51
WORKING_STUDENT_MENTAL,2.257954128440367,51
WORKING_STUDENT_PHYSICAL,2.01875,51
BURNT_OUT,1.8693448275862068,52
MENTAL,2.348654761904763,52
MIXED,1.7233333333333334,52
PHYSICAL,3.1696666666666666,52
STUDENT,2.1972952380952373,52
WORKING_STUDENT_MENTAL,2.3104494382022476,52
WORKING_STUDENT_PHYSICAL,2.384,52
BURNT_OUT,1.6177333333333332,53
MENTAL,2.3622666666666663,53
MIXED,1.9685,53
PHYSICAL,5.364,53
STUDENT,2.2354545454545454,53
WORKING_STUDENT_MENTAL,2.1672747252747255,53
WORKING_STUDENT_PHYSICAL,3.7463333333333337,53
BURNT_OUT,1.9276071428571429,54
MENTAL,2.5443333333333324,54
MIXED,2.623428571428571,54
PHYSICAL,4.253,54
STUDENT,2.371131868131868,54
WORKING_STUDENT_MENTAL,2.4517816091954026,54
WORKING_STUDENT_PHYSICAL,2.8162499999999997,54
BURNT_OUT,1.6555384615384616,55
MENTAL,2.680353846153846,55
MIXED,2.3817142857142852,55
STUDENT,2.3044743589743595,55
